WORD	EXPRESSED_MORAL
slaves	3.6666666666666696
slavocracy	2.2
smoothness	5.16666666667
solidaristic	5.33333333333
somewhat	4.875
steady-going	6.2
stereotyping	3.83333333333
stoppage-time	6.2
subjective	5.5
subjectively	5.5
subjectiveness	5.5
subjectivity	5.5
subjugation	5.75
subpulse	5.16666666666667
surprisingly	4.875
temperate	6.2
temporariness	5.16666666666667
theright	8.166666666669999
tolerance	7.166666666669999
tolerant	7.166666666669999
transitory	5.16666666666667
truthful	7.2
truthfulness	7.666666666669999
tyranny	5.75
un-biased	8.0
unbaised	8.0
unbias	8.0
unbiased	8.6
unbiassed	8.0
unbigoted	7.166666666669999
unblinkered	6.71428571429
unceasing	4.5
unconscionable	4.66666666666667
unequal	4.5
unequalised	4.0
unequality	4.5
unequalled	3.66666666667
unequally	4.5
unethical	5.2
unevenness	5.16666666667
unfair	4.625
unfairly	4.625
unfairness	6.5
unfare	4.625
unfounded	4.625
uniformity	5.16666666667
unjust	6.333333333330001
unjustifiable	6.333333333330001
unjustifiably	4.625
unjustified	4.625
unjustly	5.4
unjustness	6.5
unlawfully	5.4
unlikeness	3.16666666667
unmatched	3.66666666667
unparalled	3.66666666667
unparalleled	3.66666666667
unprejudiced	6.71428571429
unprincipled	2.7142857142900003
unproportional	3.6
unreasonable	5.0
unrighteous	6.333333333330001
unrightfully	5.4
unrivaled	3.66666666667
unrivalled	3.66666666667
unruffled	6.2
unscrupulous	2.7142857142900003
unsurpassed	3.66666666667
untruthful	5.2
unvarying	6.2
unwarranted	4.625
unwarrented	4.625
waveform	5.16666666666667
waveshape	5.16666666666667
wrong	8.166666666669999
wrongfully	5.4
wrongly	5.4
